Provider_Name,Contacts,Category,Speciality,Physical Address,County,Coordinates,Latitude,Longitude,Exact_Location
Dr Charles Kariuki Clinic,0733370057/0202721543,Specialist,Interventional cardiologist,Nairobi hospital Anderson centre 5th floor suite  5.1,Nairobi,"(-1.2965748, 36.8044024)",-1.2965748,36.8044024,Upperhill
Dr Phelemon Mwela Namasaka,0721689085/0701939136,Specialist,Cardiologist,Nairobi Hospital New Doctors Plaza Rm 308,Nairobi,"(-1.2958727, 36.8033705)",-1.2958727,36.8033705,Upperhill
Dr W. J . Okumu,722320376,Specialist,Cardio vascular surgery,"Bemuda Plaza, between Coptic Hospital and Nairobi Baptist Church",Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Ngong Road
Dr. Bernard Gitura,0717977637/ 0736362282,Specialist,Cardiologist,"Fortis Suites, Hospital Road, Upperhill 1st Floor, Suite No 9. Upperhill Cardiovascular Centre",Nairobi,"(-1.300114, 36.8127263)",-1.300114,36.8127263,Upperhill
"Dr. Philip K. Kisyoka (Nairobi Hospital,Doctor's Plaza 3rd floor suite no.308)",0701 939136/0701 939137,Specialist,Cardiologist,"Nairobi Hospital,Doctor's Plaza 3rd floor suite no.308",Nairobi,"(-1.2958427, 36.8033858)",-1.2958427,36.8033858,Upperhill
"Equatorial Heart & Blood Vessel Clinic/Dr Robert Mathenge (Nairobi Hospital,Doctor's Plaza)",0703 082000/020 2717337/0722 964288,Specialist,Cardiologist,"Nairobi Hospital,Doctor's Plaza",Nairobi,"(-1.2958427, 36.8033858)",-1.2958427,36.8033858,Upperhill
Nairobi Heart Clinic (The Karen Hospital),020 6613201/0786 184881,Specialist,Cardiologist,"Karen Hospital, Karen, Langata Rd, Nairobi",Nairobi,"(-1.3365109, 36.7225034)",-1.3365109,36.7225034,Karen
Primecare Heart Clinic- Dr. Wanyoike,710828016,Specialist,Cardiologist,"4th Floor,Anderson centre, Nairobi Hospital.",Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Upperhill
The Neurology Centre (Prof Erastus Amayo),202722405,Specialist,Neurologist,"General Accident House, Ralph Bunche Rd.",Nairobi,"(-1.2960508, 36.8072381)",-1.2960508,36.8072381,Hurlingham
Dr. Henderson Munene Irimu,0791009598/0722513837,Specialist,Chest Specialist / Consultant Physician,Off Kiambu Road Next to Five Star Estate ( Premium Medical Centre),Nairobi,"(-1.3220055, 36.8228405)",-1.3220055,36.8228405,Kiambu
Dr. J A Aluoch,202733486,Specialist,Chest Specialist,Nairobi Hospital laboratpry Building 2nd Floor,Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Hurlingham
Menelik Chest Clinic/Dr. Samuel Gathua,020 2655360/0722 695873,Specialist,Dentist,"Kilimani, Dagoretti North, Dagoretti North",Nairobi,"(-1.2892786, 36.7869311)",-1.2892786,36.7869311,Kilimani
12th precinct orthodontics & dental studio,704392502,Specialist,Dentist,Applewood adams suite 1001 ngong road,Nairobi,"(-1.2998592, 36.7810769)",-1.2998592,36.7810769,Adams
"Abdallah and Associates Dental & Implant Centre - Parklands Branch,Nairobi ",2211637/ 0715777457,Specialist,Dentist,"Valley view business park, Parklands - Nairobi",Nairobi,"(-1.2584373, 36.8301789)",-1.2584373,36.8301789,Parklands
Abdallah and Associates Dental & Implant Centre (Dr. Fuwad Abdallah),2211637/ 0715777457,Specialist,Dentist,"Lower grounf floor, Barclays plaza Loita street , Nairobi ",Nairobi,"(-1.2847831, 36.8178624)",-1.2847831,36.8178624,Nairobi CBD
Absolute Dental Limited ,702340032,Specialist,Dentist,"Solar House, 5th floor, Harambee Avenue ",Nairobi,"(-1.2881061, 36.82654)",-1.2881061,36.82654,Nairobi CBD
All Smiles Dental Practice (Dr. Nisha Sapra),0722513561/ 0733513561,Specialist,Dentist,"3rd Floor Upperhill Medical Centre, Ralph Bunche rd",Nairobi,"(-1.29475, 36.806605)",-1.29475,36.806605,Upperhill
Alpine Dental Services,0720543396/ 0202218359,Specialist,Dentist,"Kencom House 1st floor, door 151",Nairobi,"(-1.2860088, 36.8257063)",-1.2860088,36.8257063,Nairobi CBD
Arrow Dental Limited,0740579064/ 0723396322,Specialist,Dentist,8th Floor Yala Towers,Nairobi,"(-1.282996, 36.8186769)",-1.282996,36.8186769,Nairobi CBD
Astradental,020 2088043/ +254 703 500 819,Specialist,Dentist,"Mpaka Plaza, 1st Floor, Mpaka Rd, Westlands, Nairobi, Kenya",Nairobi,"(-1.2648485, 36.8051541)",-1.2648485,36.8051541,Westlands
Baraka smiles,745200000,Specialist,Dentist,"Kahawa wendani, magunas building",Nairobi,"(-1.196481, 36.92431759999999)",-1.196481,36.9243176,Ruiru
Buruburu Dental Centre,0727071415/0718892015,Specialist,Dentist,"Vision Building, Ground Floor-Buruburu shopping Centre",Nairobi,"(-1.2849698, 36.8799995)",-1.2849698,36.8799995,Buruburu
Cape Dental Clinic ,717852786,Specialist,Dentist,"Cape Office Park, Ring Road Kilimani 6th Floor.",Nairobi,"(-1.2940418, 36.7871995)",-1.2940418,36.7871995,Kilimani
Cape Dental Clinic ,0728 799 009/0726 851 819,Specialist,Dentist,Mountain View Mall 3rd Floor,Nairobi,"(-1.2655861, 36.7409511)",-1.2655861,36.7409511,Mountail View
Celestial Dental Centre,707535000,Specialist,Dentist,"Total Petrol Station, Kasarani",Nairobi,"(-1.2253995, 36.8976372)",-1.2253995,36.8976372,Kasarani
Cuspid Dental,702974551,Specialist,Dentist,"Commonwealth House, 3rd Floor, Moi Avenue",Nairobi,"(-1.2842872, 36.8251311)",-1.2842872,36.8251311,Nairobi CBD
Dent plan dental surgeon ,2240242/0788195235,Specialist,Dentist,"3rd Floor, consolidated Bank house, Koinange street",Nairobi,"(-1.2829217, 36.8177808)",-1.2829217,36.8177808,Nairobi CBD
Dental & Maxillofacial Imaging Centre Ltd ( DAMIC ) - City Centre,020 2212043/0717544733,Specialist,Dentist,"3rd floor, Eagle House,, Kimathi Street",Nairobi,"(-1.2845533, 36.8241548)",-1.2845533,36.8241548,Nairobi CBD
Dental & Maxillofacial Imaging Centre Ltd ( DAMIC ) - Upper Hill,020 2711612/0717763785,Specialist,Dentist,"1st Floor, General Accident House, Ralph Bunche Road",Nairobi,"(-1.2960508, 36.8072381)",-1.2960508,36.8072381,Hurlingham
